index	name	code	lvl	lvl req	set
Aldur's Stony Gaze	Hunter's Guise	dr8	29	36	Aldur's Watchtower
Aldur's Deception	Shadow Plate	uul	29	76	Aldur's Watchtower
Aldur's Gauntlet	Jagged Star	9mt	29	42	Aldur's Watchtower
Aldur's Advance	Battle Boots	xtb	29	45	Aldur's Watchtower
Angelic Sickle	Sabre	sbr	17	12	Angelical Raiment
Angelic Mantle	Ring Mail	rng	17	12	Angelical Raiment
Angelic Halo	Ring	rin	17	12	Angelical Raiment
Angelic Wings	Amulet	amu	17	12	Angelical Raiment
Arcanna's Sign	Amulet	amu	20	15	Arcanna's Tricks
Arcanna's Deathwand	War Staff	wst	20	15	Arcanna's Tricks
Arcanna's Head	Skull Cap	skp	20	15	Arcanna's Tricks
Arcanna's Flesh	Light Plate	ltp	20	15	Arcanna's Tricks
Arctic Horn	Short War Bow	swb	3	2	Arctic Gear
Arctic Furs	Quilted Armor	qui	3	2	Arctic Gear
Arctic Binding	Light Belt	vbl	3	2	Arctic Gear
Arctic Mitts	Light Gauntlets	tgl	3	2	Arctic Gear
Berserker's Headgear	Helm	hlm	5	3	Berserker's Garb
Berserker's Hauberk	Splint Mail	spl	5	3	Berserker's Garb
Berserker's Hatchet	Double Axe	2ax	5	3	Berserker's Garb
Bul-Kathos' Sacred Charge	Colossus Blade	7gd	50	61	Bul-Kathos' Children
Bul-Kathos' Tribal Guardian	Mythical Sword	7wd	50	54	Bul-Kathos' Children
Cathan's Rule	Battle Staff	bst	15	11	Cathan's Traps
Cathan's Mesh	Chain Mail	chn	15	11	Cathan's Traps
Cathan's Visage	Mask	msk	15	11	Cathan's Traps
Cathan's Sigil	Amulet	amu	15	11	Cathan's Traps
Cathan's Seal	Ring	rin	15	11	Cathan's Traps
Civerb's Ward	Large Shield	lrg	13	9	Civerb's Vestments
Civerb's Icon	Amulet	amu	13	9	Civerb's Vestments
Civerb's Cudgel	Grand Scepter	gsc	13	9	Civerb's Vestments
Cleglaw's Tooth	Long Sword	lsd	6	4	Cleglaw's Brace
Cleglaw's Claw	Small Shield	sml	6	4	Cleglaw's Brace
Cleglaw's Pincers	Chain Gloves	mgl	6	4	Cleglaw's Brace
Cow King's Horns	War Hat	xap	20	25	Cow King's Leathers
Cow King's Hide	Studded Leather	stu	20	18	Cow King's Leathers
Cow King's Hoofs	Heavy Boots	vbt	20	13	Cow King's Leathers
Death's Hand	Leather Gloves	lgl	8	6	Death's Disguise
Death's Guard	Sash	lbl	8	6	Death's Disguise
Death's Touch	War Sword	wsd	8	6	Death's Disguise
Griswold's Valor	Corona	urn	44	69	Griswold's Legacy
Griswold's Heart	Ornate Plate	xar	44	45	Griswold's Legacy
Griswolds's Redemption	Caduceus	7ws	44	53	Griswold's Legacy
Griswold's Honor	Vortex Shield	paf	44	68	Griswold's Legacy
Dangoon's Teaching	Reinforced Mace	7ma	55	68	Heaven's Brethren
Heaven's Taebaek	Ward	uts	55	81	Heaven's Brethren
Haemosu's Adament	Cuirass	xrs	55	44	Heaven's Brethren
Ondal's Almighty	Spired Helm	uhm	55	69	Heaven's Brethren
Hsarus' Iron Heel	Chain Boots	mbt	4	3	Hsarus' Defense
Hsarus' Iron Fist	Buckler	buc	4	3	Hsarus' Defense
Hsarus' Iron Stay	Belt	mbl	4	3	Hsarus' Defense
Hwanin's Splendor	Grand Crown	xrn	28	45	Hwanin's Majesty
Hwanin's Refuge	Tigulated Mail	xcl	28	30	Hwanin's Majesty
Hwanin's Seal	Belt	mbl	28	35	Hwanin's Majesty
Hwanin's Justice	Bill	9vo	28	28	Hwanin's Majesty
Immortal King's Will	Avenger Guard	ba5	37	47	Immortal King
